zipcode,1,2,3,4,5,6,Total_Returns,Bracket_1_Percentage,Bracket_2_Percentage,Bracket_3_Percentage,Bracket_4_Percentage,Bracket_5_Percentage,Bracket_6_Percentage,average
10001,3760.0,2430.0,1930.0,1340.0,2480.0,2370.0,14310.0,0.26275331935709295,0.16981132075471697,0.13487071977638015,0.0936408106219427,0.17330538085255065,0.16561844863731656,3.2417889587700905
10002,22380.0,8260.0,4690.0,2690.0,3530.0,1640.0,43190.0,0.5181755035887937,0.1912479740680713,0.1085899513776337,0.06228293586478351,0.0817318823801806,0.03797175272053716,2.1120629775410973
10003,5320.0,4020.0,4340.0,3340.0,6580.0,6450.0,30050.0,0.17703826955074875,0.13377703826955076,0.1444259567387687,0.11114808652246257,0.21896838602329452,0.2146422628951747,3.7051580698835274
10004,340.0,260.0,290.0,200.0,520.0,880.0,2490.0,0.13654618473895583,0.10441767068273092,0.11646586345381527,0.08032128514056225,0.20883534136546184,0.3534136546184739,4.1807228915662655
10005,750.0,750.0,910.0,660.0,1360.0,1730.0,6160.0,0.12175324675324675,0.12175324675324675,0.14772727272727273,0.10714285714285714,0.22077922077922077,0.28084415584415584,4.025974025974026
10006,300.0,320.0,360.0,260.0,650.0,540.0,2430.0,0.12345679012345678,0.13168724279835392,0.14814814814814814,0.10699588477366255,0.2674897119341564,0.2222222222222222,3.9300411522633745
10007,440.0,280.0,230.0,220.0,570.0,1590.0,3330.0,0.13213213213213212,0.08408408408408409,0.06906906906906907,0.06606606606606606,0.17117117117117117,0.4774774774774775,4.4924924924924925
10009,10130.0,6860.0,5800.0,3710.0,5100.0,2110.0,33710.0,0.30050430139424505,0.20350044497181846,0.17205576980124593,0.11005636309700385,0.15129041827350934,0.0625927024621774,2.795906259270246
10010,2650.0,2430.0,2570.0,1950.0,3950.0,3930.0,17480.0,0.15160183066361557,0.13901601830663615,0.14702517162471396,0.11155606407322655,0.22597254004576658,0.2248283752860412,3.7957665903890163
10011,5130.0,3630.0,3770.0,3260.0,6970.0,7540.0,30300.0,0.16930693069306932,0.1198019801980198,0.12442244224422443,0.1075907590759076,0.23003300330033002,0.24884488448844885,3.855775577557756
10012,2490.0,1840.0,1740.0,1420.0,2790.0,2580.0,12860.0,0.19362363919129083,0.14307931570762053,0.13530326594090203,0.1104199066874028,0.21695178849144633,0.2006220839813375,3.6158631415241063
10013,4530.0,2070.0,1570.0,1140.0,2040.0,3740.0,15090.0,0.30019880715705766,0.13717693836978131,0.10404241219350563,0.07554671968190854,0.13518886679920478,0.24784625579854208,3.351888667992047
10014,2880.0,2250.0,2460.0,2110.0,4620.0,4790.0,19110.0,0.15070643642072212,0.11773940345368916,0.12872841444270017,0.11041339612768185,0.24175824175824176,0.25065410779696495,3.926739926739927
